Class     Images  Instances          P          R      mAP50   mAP50-95
  all       2118       5436      0.796      0.396      0.451      0.325
 pl80       2118        188      0.791      0.826      0.861      0.635
   p6       2118         21      0.427      0.381      0.417      0.315
ph4.2       2118          6          0          0     0.0273     0.0208
 pa13       2118          9      0.627      0.667      0.813      0.633
   im       2118         14      0.538      0.786      0.715      0.477
  w58       2118         24      0.717      0.528      0.563      0.341
 pl90       2118         11      0.609      0.455      0.537      0.396
 il70       2118          4      0.722       0.25      0.282      0.223
   p5       2118         85       0.89      0.847       0.92      0.694
 pm55       2118         27      0.695      0.852       0.83      0.619
 pl60       2118        152      0.663      0.674      0.761      0.594
   ip       2118         66      0.888      0.879      0.903      0.533
  p11       2118        336      0.793      0.742      0.798      0.554
  pdd       2118          7          1          0      0.363      0.252
   wc       2118         10      0.837        0.5      0.609      0.441
  i2r       2118         82      0.821      0.854      0.852      0.613
  w30       2118         27      0.668      0.595       0.68      0.429
  pmr       2118          2          1          0    0.00374    0.00337
  p23       2118         52      0.897      0.846      0.877      0.657
 pl15       2118         22      0.812      0.393      0.539      0.343
 pm10       2118         10      0.696        0.6      0.577      0.436
  pss       2118          1          1          0    0.00214    0.00193
   w1       2118          1          1          0          0          0
   p4       2118          1          1          0      0.166      0.116
  w38       2118          2          1          0      0.025       0.02
  w34       2118          1          0          0     0.0079    0.00395
   iz       2118          3          1      0.621      0.665      0.399
  p1n       2118          3      0.572      0.667      0.463      0.335
 pr70       2118          2      0.601          1      0.995      0.746
   pg       2118         31       0.89      0.774      0.806      0.526
  w66       2118          2          1          0     0.0223     0.0156
 il80       2118         52      0.888      0.846      0.898        0.7
   pb       2118          9      0.859      0.556      0.663      0.543
  pbm       2118         15      0.623        0.4      0.428      0.331
  pm5       2118          1      0.827          1      0.995      0.796
  w24       2118          3          1          0     0.0647     0.0465
 pm40       2118          2          1          0     0.0115    0.00921
  ph4       2118         31      0.656      0.581      0.693      0.512
  w45       2118          8          1          0      0.143     0.0904
   i4       2118        139      0.852       0.95      0.957      0.627
  w37       2118          1          1          0     0.0332     0.0265
 pl70       2118         42      0.892      0.592      0.623      0.455
  i11       2118          1          1          0     0.0146    0.00732
  p29       2118          8      0.953      0.125      0.217       0.18
  pne       2118        486      0.934      0.904      0.941      0.623
 pr60       2118          5      0.452          1      0.962      0.743
 pm13       2118          1          1          0      0.249      0.224
ph4.5       2118         34      0.692      0.765       0.82      0.647
  p12       2118         37      0.466      0.568      0.608      0.464
   p3       2118         32      0.746       0.75      0.792      0.531
  pl5       2118        109      0.666      0.789      0.803      0.524
  w13       2118         23       0.51      0.522      0.471        0.3
 pr10       2118          1          1          0          0          0
  p14       2118          6      0.625      0.564      0.622       0.52
  i4l       2118         70      0.791      0.886       0.88      0.613
 pr30       2118          6      0.377      0.909      0.899      0.727
  w16       2118          1          1          0          0          0
  p17       2118          8          1          0      0.154      0.112
  ph3       2118          7      0.825      0.143      0.276      0.223
  w15       2118          2          1          0          0          0
  pa8       2118          1          1          0          0          0
   pt       2118          1          1          0          0          0
 pr45       2118          1          1          0          0          0
 pl30       2118        115      0.817      0.757      0.815       0.61
 pr50       2118         12      0.838          1      0.977      0.773
ph4.4       2118          2          1          0          0          0
 pm46       2118          1          1          0    0.00469    0.00375
 pm35       2118          1          1          0          0          0
  i15       2118          1      0.407          1      0.995      0.398
   i1       2118          2          1          0     0.0629     0.0503
  pcd       2118          7          1          0    0.00703    0.00431
  pbp       2118         24      0.671      0.583      0.614      0.444
  pcr       2118          3          1          0     0.0726     0.0392
   ps       2118         13          1      0.495      0.555      0.349
  pm8       2118          5          1          0    0.00758    0.00682
  w18       2118          3          0          0     0.0554     0.0485
ph2.9       2118          1          1          0     0.0134    0.00941
ph1.8       2118          1          1          0          0          0
  p20       2118          1          1          0          0          0
  p10       2118         80      0.794      0.722      0.806      0.616
   pn       2118        640      0.901      0.884      0.918      0.626
 pa14       2118         10      0.559          1      0.986      0.719
ph3.2       2118          1          1          0          0          0
   p2       2118          2          1          0      0.165      0.149
ph2.5       2118          7          1          0      0.122      0.104
  w62       2118          1          1          0          0          0
  w55       2118         35      0.662      0.829      0.811      0.512
  i12       2118          3      0.567      0.667      0.444      0.333
phclr       2118          2          1          0     0.0996     0.0796
  i10       2118         17      0.621      0.529      0.553      0.357
  i13       2118          2       0.84        0.5      0.496      0.396
  w10       2118          1          1          0          0          0
  p26       2118        160      0.747      0.794      0.835      0.628
  w26       2118          1      0.139      0.278      0.497      0.249
   p8       2118          3          1          0      0.108     0.0715
